"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/AGO","AO","Angola","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.863,"Deaths Rate"
"country/BDI","BI","Burundi","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.311,"Deaths Rate"
"country/BEN","BJ","Benin","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",9.323,"Deaths Rate"
"country/BFA","BF","Burkina Faso","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.662,"Deaths Rate"
"country/BWA","BW","Botswana","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.897,"Deaths Rate"
"country/CAF","CF","Central African Republic","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",11.003,"Deaths Rate"
"country/CIV","CI","Côte d'Ivoire","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.843,"Deaths Rate"
"country/CMR","CM","Cameroon","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.225,"Deaths Rate"
"country/COD","CD","Congo [DRC]","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",9.352,"Deaths Rate"
"country/COG","CG","Congo [Republic]","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.275,"Deaths Rate"
"country/COM","KM","Comoros","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.528,"Deaths Rate"
"country/CPV","CV","Cape Verde","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.659,"Deaths Rate"
"country/DJI","DJ","Djibouti","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.962,"Deaths Rate"
"country/DZA","DZ","Algeria","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",4.329,"Deaths Rate"
"country/EGY","EG","Egypt","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.39,"Deaths Rate"
"country/ERI","ER","Eritrea","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.727,"Deaths Rate"
"country/ETH","ET","Ethiopia","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.497,"Deaths Rate"
"country/GAB","GA","Gabon","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.307,"Deaths Rate"
"country/GHA","GH","Ghana","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.585,"Deaths Rate"
"country/GIN","GN","Guinea","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",9.87,"Deaths Rate"
"country/GMB","GM","Gambia","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.137,"Deaths Rate"
"country/GNB","GW","Guinea-Bissau","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.597,"Deaths Rate"
