"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/AGO","AO","Angola","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.541,"Female Life Expectancy"
"country/BDI","BI","Burundi","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.868,"Female Life Expectancy"
"country/BEN","BJ","Benin","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.676,"Female Life Expectancy"
"country/BFA","BF","Burkina Faso","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.505,"Female Life Expectancy"
"country/BWA","BW","Botswana","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.399,"Female Life Expectancy"
"country/CAF","CF","Central African Republic","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",56.829,"Female Life Expectancy"
"country/CIV","CI","Côte d'Ivoire","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.282,"Female Life Expectancy"
"country/CMR","CM","Cameroon","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.556,"Female Life Expectancy"
"country/COD","CD","Congo [DRC]","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.05,"Female Life Expectancy"
"country/COG","CG","Congo [Republic]","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.617,"Female Life Expectancy"
"country/COM","KM","Comoros","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.061,"Female Life Expectancy"
"country/CPV","CV","Cape Verde","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",79.011,"Female Life Expectancy"
"country/DJI","DJ","Djibouti","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.503,"Female Life Expectancy"
"country/DZA","DZ","Algeria","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",78.457,"Female Life Expectancy"
"country/EGY","EG","Egypt","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.557,"Female Life Expectancy"
"country/ERI","ER","Eritrea","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.678,"Female Life Expectancy"
"country/ETH","ET","Ethiopia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.903,"Female Life Expectancy"
"country/GAB","GA","Gabon","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.359,"Female Life Expectancy"
"country/GHA","GH","Ghana","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.13,"Female Life Expectancy"
"country/GIN","GN","Guinea","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.238,"Female Life Expectancy"
"country/GMB","GM","Gambia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.344,"Female Life Expectancy"
"country/GNB","GW","Guinea-Bissau","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.929,"Female Life Expectancy"
"country/GNQ","GQ","Equatorial Guinea","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.261,"Female Life Expectancy"
"country/KEN","KE","Kenya","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.686,"Female Life Expectancy"
"country/LBR","LR","Liberia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.392,"Female Life Expectancy"
"country/LBY","LY","Libya","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.759,"Female Life Expectancy"
"country/LSO","LS","Lesotho","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",55.923,"Female Life Expectancy"
"country/MAR","MA","Morocco","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",77.177,"Female Life Expectancy"
"country/MDG","MG","Madagascar","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.617,"Female Life Expectancy"
"country/MLI","ML","Mali","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.832,"Female Life Expectancy"
"country/MOZ","MZ","Mozambique","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.688,"Female Life Expectancy"
"country/MRT","MR","Mauritania","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.447,"Female Life Expectancy"
"country/MUS","MU","Mauritius","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",77.1,"Female Life Expectancy"
"country/MWI","MW","Malawi","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.326,"Female Life Expectancy"
"country/NAM","NA","Namibia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.704,"Female Life Expectancy"
"country/NER","NE","Niger","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.401,"Female Life Expectancy"
"country/NGA","NG","Nigeria","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",53.968,"Female Life Expectancy"
"country/RWA","RW","Rwanda","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",69.244,"Female Life Expectancy"
"country/SDN","SD","Sudan","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.184,"Female Life Expectancy"
"country/SEN","SN","Senegal","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",70.2,"Female Life Expectancy"
"country/SLE","SL","Sierra Leone","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.693,"Female Life Expectancy"
"country/SOM","SO","Somalia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.233,"Female Life Expectancy"
"country/SSD","","South Sudan","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",57.047,"Female Life Expectancy"
"country/STP","ST","São Tomé and Príncipe","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",71.938,"Female Life Expectancy"
"country/SWZ","SZ","Eswatini","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.599,"Female Life Expectancy"
"country/SYC","SC","Seychelles","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",76,"Female Life Expectancy"
"country/TCD","TD","Chad","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",54.769,"Female Life Expectancy"
"country/TGO","TG","Togo","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.227,"Female Life Expectancy"
"country/TUN","TN","Tunisia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",77.408,"Female Life Expectancy"
"country/TZA","TZ","Tanzania","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.93,"Female Life Expectancy"
"country/UGA","UG","Uganda","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.703,"Female Life Expectancy"
"country/ZAF","ZA","South Africa","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.181,"Female Life Expectancy"
"country/ZMB","ZM","Zambia","LifeExpectancy_Person_Female","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.51,"Female Life Expectancy"
