"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/AGO","AO","Angola","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",40.6,"Infant mortality rate [under 1 year old, Female]"
"country/BDI","BI","Burundi","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",32.2,"Infant mortality rate [under 1 year old, Female]"
"country/BEN","BJ","Benin","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",48,"Infant mortality rate [under 1 year old, Female]"
"country/BFA","BF","Burkina Faso","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",45.3,"Infant mortality rate [under 1 year old, Female]"
"country/BWA","BW","Botswana","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",27.9,"Infant mortality rate [under 1 year old, Female]"
"country/CAF","CF","Central African Republic","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",66.1,"Infant mortality rate [under 1 year old, Female]"
"country/CIV","CI","Côte d'Ivoire","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",45.6,"Infant mortality rate [under 1 year old, Female]"
"country/CMR","CM","Cameroon","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",42,"Infant mortality rate [under 1 year old, Female]"
"country/COD","CD","Congo [DRC]","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",54,"Infant mortality rate [under 1 year old, Female]"
"country/COG","CG","Congo [Republic]","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",27.8,"Infant mortality rate [under 1 year old, Female]"
