"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/AGO","AO","Angola","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.929,"Life Expectancy"
"country/BDI","BI","Burundi","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.977,"Life Expectancy"
"country/BEN","BJ","Benin","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.954,"Life Expectancy"
"country/BFA","BF","Burkina Faso","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.766,"Life Expectancy"
"country/BWA","BW","Botswana","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.913,"Life Expectancy"
"country/CAF","CF","Central African Republic","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",54.477,"Life Expectancy"
"country/CIV","CI","Côte d'Ivoire","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.916,"Life Expectancy"
"country/CMR","CM","Cameroon","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.958,"Life Expectancy"
"country/COD","CD","Congo [DRC]","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.743,"Life Expectancy"
"country/COG","CG","Congo [Republic]","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.053,"Life Expectancy"
"country/COM","KM","Comoros","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.68,"Life Expectancy"
"country/CPV","CV","Cape Verde","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.722,"Life Expectancy"
"country/DJI","DJ","Djibouti","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.859,"Life Expectancy"
"country/DZA","DZ","Algeria","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",77.129,"Life Expectancy"
"country/EGY","EG","Egypt","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",70.159,"Life Expectancy"
"country/ERI","ER","Eritrea","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.604,"Life Expectancy"
"country/ETH","ET","Ethiopia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.645,"Life Expectancy"
"country/GAB","GA","Gabon","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.694,"Life Expectancy"
"country/GHA","GH","Ghana","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.945,"Life Expectancy"
"country/GIN","GN","Guinea","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.985,"Life Expectancy"
"country/GMB","GM","Gambia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.906,"Life Expectancy"
"country/GNB","GW","Guinea-Bissau","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.861,"Life Expectancy"
"country/GNQ","GQ","Equatorial Guinea","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.19,"Life Expectancy"
"country/KEN","KE","Kenya","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.055,"Life Expectancy"
"country/LBR","LR","Liberia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.1,"Life Expectancy"
"country/LBY","LY","Libya","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.151,"Life Expectancy"
"country/LSO","LS","Lesotho","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",53.036,"Life Expectancy"
"country/MAR","MA","Morocco","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.973,"Life Expectancy"
"country/MDG","MG","Madagascar","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.23,"Life Expectancy"
"country/MLI","ML","Mali","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.417,"Life Expectancy"
"country/MOZ","MZ","Mozambique","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.625,"Life Expectancy"
"country/MRT","MR","Mauritania","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.691,"Life Expectancy"
"country/MUS","MU","Mauritius","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.5146341463,"Life Expectancy"
