"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/AGO","AO","Angola","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.351,"Male Life Expectancy"
"country/BDI","BI","Burundi","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.077,"Male Life Expectancy"
"country/BEN","BJ","Benin","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.265,"Male Life Expectancy"
"country/BFA","BF","Burkina Faso","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",57.953,"Male Life Expectancy"
"country/BWA","BW","Botswana","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.328,"Male Life Expectancy"
"country/CAF","CF","Central African Republic","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",52.258,"Male Life Expectancy"
"country/CIV","CI","Côte d'Ivoire","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",57.686,"Male Life Expectancy"
"country/CMR","CM","Cameroon","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.392,"Male Life Expectancy"
"country/COD","CD","Congo [DRC]","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",57.516,"Male Life Expectancy"
"country/COG","CG","Congo [Republic]","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.513,"Male Life Expectancy"
"country/COM","KM","Comoros","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.522,"Male Life Expectancy"
"country/CPV","CV","Cape Verde","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",70.29,"Male Life Expectancy"
"country/DJI","DJ","Djibouti","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.336,"Male Life Expectancy"
"country/DZA","DZ","Algeria","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",75.853,"Male Life Expectancy"
"country/EGY","EG","Egypt","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.869,"Male Life Expectancy"
"country/ERI","ER","Eritrea","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.457,"Male Life Expectancy"
"country/ETH","ET","Ethiopia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.613,"Male Life Expectancy"
"country/GAB","GA","Gabon","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.361,"Male Life Expectancy"
"country/GHA","GH","Ghana","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.805,"Male Life Expectancy"
"country/GIN","GN","Guinea","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",57.643,"Male Life Expectancy"
"country/GMB","GM","Gambia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.481,"Male Life Expectancy"
"country/GNB","GW","Guinea-Bissau","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",57.671,"Male Life Expectancy"
"country/GNQ","GQ","Equatorial Guinea","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.432,"Male Life Expectancy"
"country/KEN","KE","Kenya","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.579,"Male Life Expectancy"
"country/LBR","LR","Liberia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.796,"Male Life Expectancy"
"country/LBY","LY","Libya","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",69.736,"Male Life Expectancy"
"country/LSO","LS","Lesotho","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",50.319,"Male Life Expectancy"
"country/MAR","MA","Morocco","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.896,"Male Life Expectancy"
"country/MDG","MG","Madagascar","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.97,"Male Life Expectancy"
"country/MLI","ML","Mali","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.068,"Male Life Expectancy"
"country/MOZ","MZ","Mozambique","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",56.529,"Male Life Expectancy"
"country/MRT","MR","Mauritania","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.965,"Male Life Expectancy"
"country/MUS","MU","Mauritius","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",70.1,"Male Life Expectancy"
"country/MWI","MW","Malawi","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.58,"Male Life Expectancy"
"country/NAM","NA","Namibia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",54.592,"Male Life Expectancy"
"country/NER","NE","Niger","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.816,"Male Life Expectancy"
"country/NGA","NG","Nigeria","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",53.295,"Male Life Expectancy"
"country/RWA","RW","Rwanda","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.813,"Male Life Expectancy"
"country/SDN","SD","Sudan","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.048,"Male Life Expectancy"
"country/SEN","SN","Senegal","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.473,"Male Life Expectancy"
"country/SLE","SL","Sierra Leone","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.115,"Male Life Expectancy"
"country/SOM","SO","Somalia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",54.072,"Male Life Expectancy"
"country/SSD","","South Sudan","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",54.036,"Male Life Expectancy"
"country/STP","ST","São Tomé and Príncipe","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.054,"Male Life Expectancy"
"country/SWZ","SZ","Eswatini","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",52.647,"Male Life Expectancy"
"country/SYC","SC","Seychelles","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",71.8,"Male Life Expectancy"
"country/TCD","TD","Chad","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",51.3,"Male Life Expectancy"
"country/TGO","TG","Togo","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.946,"Male Life Expectancy"
"country/TUN","TN","Tunisia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",71.367,"Male Life Expectancy"
"country/TZA","TZ","Tanzania","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.72,"Male Life Expectancy"
"country/UGA","UG","Uganda","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.486,"Male Life Expectancy"
"country/ZAF","ZA","South Africa","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.597,"Male Life Expectancy"
"country/ZMB","ZM","Zambia","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.058,"Male Life Expectancy"
"country/ZWE","ZW","Zimbabwe","LifeExpectancy_Person_Male","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",56.428,"Male Life Expectancy"
