"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/AGO","AO","Angola","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",26,"Neonatal mortality rate [under 1 month old]"
"country/BDI","BI","Burundi","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",19.8,"Neonatal mortality rate [under 1 month old]"
"country/BEN","BJ","Benin","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",28.6,"Neonatal mortality rate [under 1 month old]"
"country/BFA","BF","Burkina Faso","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",24.6,"Neonatal mortality rate [under 1 month old]"
"country/BWA","BW","Botswana","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",19.8,"Neonatal mortality rate [under 1 month old]"
"country/CAF","CF","Central African Republic","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",31.7,"Neonatal mortality rate [under 1 month old]"
"country/CIV","CI","Côte d'Ivoire","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",28.7,"Neonatal mortality rate [under 1 month old]"
"country/CMR","CM","Cameroon","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",26.2,"Neonatal mortality rate [under 1 month old]"
"country/COD","CD","Congo [DRC]","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.7,"Neonatal mortality rate [under 1 month old]"
"country/COG","CG","Congo [Republic]","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",18.1,"Neonatal mortality rate [under 1 month old]"
"country/COM","KM","Comoros","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.4,"Neonatal mortality rate [under 1 month old]"
"country/CPV","CV","Cape Verde","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",8.7,"Neonatal mortality rate [under 1 month old]"
"country/DJI","DJ","Djibouti","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",28.5,"Neonatal mortality rate [under 1 month old]"
"country/DZA","DZ","Algeria","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",15.2,"Neonatal mortality rate [under 1 month old]"
"country/EGY","EG","Egypt","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",9.5,"Neonatal mortality rate [under 1 month old]"
"country/ERI","ER","Eritrea","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",16.9,"Neonatal mortality rate [under 1 month old]"
"country/ETH","ET","Ethiopia","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",27.1,"Neonatal mortality rate [under 1 month old]"
"country/GAB","GA","Gabon","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",18.3,"Neonatal mortality rate [under 1 month old]"
"country/GHA","GH","Ghana","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",21.1,"Neonatal mortality rate [under 1 month old]"
"country/GIN","GN","Guinea","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",31,"Neonatal mortality rate [under 1 month old]"
